Land,Bevoelkerung
Afghanistan,35530100
Albania,2873500
Algeria,41318100
Andorra,77000
Angola,29784200
Antigua and Barbuda,102000
Argentina,44271000
Armenia,2930500
Australia,24598900
Austria,8809200
Azerbaijan,9862400
Bahamas,395400
Bahrain,1492600
Bangladesh,164669800
Barbados,285700
Belarus,9507900
Belgium,11372100
Belize,374700
Benin,11175700
Bhutan,807600
Bolivia,11051600
Bosnia and Herzegovina,3507000
Botswana,2291700
Brazil,209288300
Brunei,428700
Bulgaria,7076000
Burkina Faso,19193400
Burma,53370600
Burundi,10864200
Cabo Verde,546400
Cambodia,16005400
Cameroon,24053700
Canada,36708100
Central African Republic,4659100
Chile,18054700
China,1386395000
Colombia,49065600
Comoros,813900
Congo (Brazzaville),5260800
Congo (Kinshasa),81340000
Costa Rica,4905800
Cote d'Ivoire,24294800
Croatia,4125700
Cuba,11484600
Cyprus,1179600
Czechia,10591300
Denmark,5769600
Denmark,5769600
Denmark,5769600
Diamond Princess,0
Djibouti,957000
Dominica,73900
Dominican Republic,10767000
Ecuador,16624900
Egypt,97553200
El Salvador,6377900
Equatorial Guinea,1267700
Eritrea,5110400
Estonia,1315500
Eswatini,1367300
Ethiopia,104957400
Fiji,905500
Finland,5511300
France,67118600
Gabon,2025100
Gambia,2100600
Georgia,3717100
Germany,82695000
Ghana,28833600
Greece,10760400
Grenada,107800
Guatemala,16913500
Guinea,12717200
Guinea-Bissau,1861300
Guyana,777900
Haiti,10981200
Holy See,0
Honduras,9265100
Hungary,9781100
Iceland,341300
India,1339180100
Indonesia,263991400
Iran,81162800
Iraq,38274600
Ireland,4813600
Israel,8712400
Italy,60551400
Jamaica,2890300
Japan,126785800
Jordan,9702400
Kazakhstan,18037600
Kenya,49699900
Korea South,25491000
Kosovo,0
Kuwait,4136500
Kyrgyzstan,6201500
Laos,6858200
Latvia,1940700
Lebanon,6082400
Lesotho,2233300
Liberia,4731900
Libya,6374600
Liechtenstein,37900
Lithuania,2827700
Luxembourg,599400
MS Zaandam,0
Madagascar,25570900
Malawi,18622100
Malaysia,31624300
Maldives,436300
Mali,18542000
Malta,465300
Mauritania,4420200
Mauritius,1264600
Mexico,129163300
Moldova,3549800
Monaco,38700
Mongolia,3075600
Montenegro,622500
Morocco,35739600
Mozambique,29668800
Namibia,2533800
Nepal,29305000
Netherlands,17132900
 Sint Eustatius and Saba,0
Netherlands,17132900
Netherlands,17132900
Netherlands,17132900
New Zealand,4793900
Nicaragua,6217600
Niger,21477300
Nigeria,190886300
North Macedonia,2083200
Norway,5282200
Oman,4636300
Pakistan,197016000
Panama,4098600
Papua New Guinea,8251200
Paraguay,6811300
Peru,32165500
Philippines,104918100
Poland,37975800
Portugal,10293700
Qatar,2639200
Romania,19586500
Russia,144495000
Rwanda,12208400
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,33400
Sao Tome and Principe,204300
Saudi Arabia,32938200
Senegal,15850600
Serbia,7022300
Seychelles,95800
Sierra Leone,7557200
Singapore,5612300
Slovakia,5439900
Slovenia,2066700
Somalia,14742500
South Africa,56717200
South Sudan,12575700
Spain,46572000
Sri Lanka,21444000
Sudan,40533300
Suriname,563400
Sweden,10067700
Switzerland,8466000
Syria,18269900
Taiwan*,0
Tajikistan,8921300
Tanzania,57310000
Thailand,69037500
Timor-Leste,1296300
Togo,7797700
Trinidad and Tobago,1369100
Tunisia,11532100
Turkey,80745000
US,325719200
Uganda,42863000
Ukraine,44831200
United Arab Emirates,9400100
United Kingdom,66022300
Uruguay,3456800
Uzbekistan,32387200
Venezuela,31977100
Vietnam,95540800
West Bank and Gaza,0
Yemen,28250400
Zambia,17094100
Zimbabwe,16529900
